# BEAST v10.5.0-beta2 Prerelease #2b4f798d6
# Generated Tue Mar 11 13:03:19 EDT 2025 [seed=1741712595321]
# -beagle_order 1 -overwrite JCV.twoEmperical.xml
state	joint	prior	likelihood	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusion.prior_a	location.diffusion.prior_b	location.precisionPrior	location.traitLikelihood_a	location.traitLikelihood_b
0	-2767.1927487121693	-1336.2245896013553	-1430.9681591108138	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	-998.9327273685079	-337.70737090014626	0.4155086672989201	-1026.830667246729	-404.13749186408467
10000	-1034.6729023636083	-1053.192309502372	18.519407138763654	4.441608240004971	-0.7873439998521284	-0.7873439998521284	1.0221555553070027	0.3695182567975003	0.2607470528783754	0.2008477344735007	0.2008477344735007	1.1330332771842735	-738.1604356182245	-309.08590865225165	-5.945965231895821	125.68236266739252	-107.16295552862887
20000	-797.2653298338457	-850.978978913093	53.713649079247205	2.499649439777317	-0.2513506261542697	-0.2513506261542697	0.6966322298252795	0.19047528711419037	0.41511688470194774	0.14977757908676367	0.14977757908676367	1.4895186353172005	-586.0431243506791	-260.5478407338054	-4.388013828608441	150.0611084511646	-96.34745937191741
30000	-648.6114972523468	-675.4327711088051	26.82127385645829	2.0533943776944494	-0.3184577965136584	-0.3184577965136584	0.4949234854266723	0.31589785002834997	0.5409840972240771	0.3480954301499507	0.3480954301499507	2.2444958389969374	-485.2637173033839	-186.40836398069197	-3.7606898247292655	120.6831319717267	-93.8618581152684
40000	-581.6366776127516	-640.0265434575819	58.38986584483028	2.3734300010419203	-0.15209884095525406	-0.15209884095525406	0.6708103860750634	0.1205418359065175	0.42754350345367875	0.09694076401192825	0.09694076401192826	1.5127144703063402	-429.3119512906631	-206.43623249278056	-4.2783596741382235	131.76816457710834	-73.37829873227805
50000	-583.69317664772	-666.0491915512796	82.35601490355961	2.3046103719307434	-0.05417043650821663	-0.05417043650821663	0.6939381970160889	0.04283543508346047	0.4347104654453358	0.03393451429698125	0.033934514296981244	1.4436995279407197	-449.4037057879214	-212.38133588672278	-4.2641498766354236	175.120855600891	-92.76484069733138
60000	-506.92578734047424	-600.5642635302402	93.6384761897659	2.3208517683414374	-0.2976486052177266	-0.2976486052177266	0.6503463615282905	0.24227454843289167	0.4577444992882864	0.2094991527884765	0.2094991527884765	1.633525139012517	-370.50994895750813	-225.86209430174742	-4.192220270984619	180.9271271259189	-87.288650936153
70000	-619.5831878285137	-709.0124556226887	89.42926779417502	2.315299158647987	-0.09866913746481695	-0.09866913746481695	0.7921355391702749	0.07285813088726585	0.4342145730859066	0.054086169957627175	0.05408616995762717	1.269147243149244	-459.04972631571644	-245.57739086485677	-4.385338442115382	166.27709776342292	-76.8478299692479
80000	-427.04642488157054	-536.2227037001186	109.17627881854806	2.5556908655521533	-0.2293848624723345	-0.2293848624723345	0.49558055163432785	0.20382313016466055	0.40824365088248327	0.1889600255782022	0.1889600255782022	2.105297647454643	-317.0935054088588	-214.9756054721145	-4.153592819145289	181.2653244662539	-72.08904564770584
90000	-419.89081188775674	-533.9749217630849	114.08410987532815	3.2717222015994434	-0.4024182062589966	-0.4024182062589966	0.6534137087786913	0.27522969536521347	0.330700438335481	0.2036686335411763	0.20366863354117634	1.6558574631119602	-344.6801273213944	-184.46070347247996	-4.8340909692105924	199.93203912584107	-85.84792925051292
