# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Fri Mar 20 11:52:34 CET 2026 [seed=1774003941640]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-101240.57396427947	-2767.187316827175	-98473.3866474523	26.52383537391031	1996.0213701055418	101.36651090929405	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	0.3333333333333333	4.473679889614057E-4	9.229228621468517	-0.008009901772244922	-98473.3866474523	-2550.992242523197	-214.3945169577044
10000	-46156.28765357247	-3487.9073520409365	-42668.380301531535	30.15939339544975	1992.3858120840023	534.3482696403065	34.46011286051091	23.110441495303185	0.2981085715279052	0.21057305225838768	0.22777950260350632	0.26353887361020084	0.0013135254461241858	0.005973264373263223	5.037099271385022E-4	3.699990712659482	0.33299946329282604	-42668.380301531535	-2550.992242523197	-928.738322901267
20000	-42105.7623676786	-3505.9255904005267	-38599.83677727808	32.52734455346761	1990.0178609259845	594.0396023887547	32.75772559970637	22.292049291538916	0.32478320116798376	0.18226009765670464	0.2079462057681015	0.2850104954072101	8.754144728994699E-4	0.0025885710867759463	4.1224645666074493E-4	2.9260639467544207	0.30633524499427683	-38599.83677727808	-2550.992242523197	-947.3417404799422
30000	-40539.32294170724	-3513.706226935851	-37025.61671477139	33.85456072399908	1988.690644755453	606.6312587769091	32.77790249955499	23.23406275990815	0.3600680800684554	0.15340356264882468	0.1799120873170497	0.30661626996567004	6.967923234024026E-4	0.0016010028122079728	3.528978639132635E-4	2.4106205478531892	0.2711266748198324	-37025.61671477139	-2550.992242523197	-955.2489550023425
40000	-39342.04452684036	-3538.1785001554454	-35803.86602668491	34.417626540896556	1988.1275789385554	652.568894923041	36.91890570060404	25.28731024389925	0.35832074031322114	0.15692679713963212	0.18210212289946504	0.3026503396476815	5.864970564158673E-4	0.0013935824587387317	2.948446520991298E-4	2.2833324798727443	-0.009019238236184564	-35803.86602668491	-2550.992242523197	-979.558218362476
50000	-38181.53217692444	-3537.8205532488037	-34643.711623675634	41.18167277110091	1981.3635327083512	669.7208172530701	39.24408359235675	23.041692743326983	0.35614870229090334	0.15989079214187032	0.18081768427377848	0.3031428212934478	5.261248043049827E-4	0.0011999809800553392	2.73103692169772E-4	2.229488036106539	0.022942639006293675	-34643.711623675634	-2550.992242523197	-979.458144708845
60000	-37791.258519947536	-3557.8377833703535	-34233.42073657718	46.26503569945473	1976.2801697799973	711.0793990288639	45.52118113852316	23.36266852155468	0.35865046320851157	0.16462631399341987	0.18235934275707494	0.29436388004099356	5.03265326931667E-4	0.001287957551089739	2.3199980432451526E-4	2.5368129033929123	-0.038974967148297596	-34233.42073657718	-2550.992242523197	-999.3344536877685
70000	-37463.29140490616	-3576.987682938331	-33886.30372196783	48.568770716969354	1973.9764347624828	754.2843760644907	48.829125799465174	20.084751384112437	0.35585070822134746	0.1525611547741951	0.1880519537540157	0.3035361832504416	5.203333465274144E-4	0.001344205647162046	2.3763547404461483E-4	2.552492706836767	-0.024293244751402446	-33886.30372196783	-2550.992242523197	-1018.7409931491088
80000	-37270.07950696264	-3588.280322084179	-33681.79918487846	50.51270695083747	1972.0324985286147	778.0887715719297	49.11626667046658	22.944910700923707	0.3569515970198076	0.15504505757504117	0.1861604934543746	0.30184285195077654	4.000213166037082E-4	8.954209110891315E-4	2.1187294000983537E-4	2.213503251902427	-0.059458411830470646	-33681.79918487846	-2550.992242523197	-1029.947855707216
90000	-36693.343132688395	-3607.2478569573195	-33086.09527573107	47.281503803013	1975.263701676439	821.4726596794327	55.23020857009629	24.153453463991486	0.3529939263300769	0.1601251909700957	0.1858829925855059	0.3009978901143214	3.5801993839392333E-4	7.396957578975945E-4	1.9693662707644772E-4	1.7984324905053464	0.013561921939505572	-33086.09527573107	-2550.992242523197	-1048.7700326442966
100000	-36397.27662565382	-3641.265382525294	-32756.01124312853	43.102732655380315	1979.4424728240717	882.4234095250606	69.04616821901656	22.63009568309772	0.3498061352381853	0.1604614077858765	0.18444965778670197	0.3052827991892361	2.9264713150619704E-4	5.26370647802648E-4	1.7684246738857337E-4	1.5742752673628193	-0.016238307025069794	-32756.01124312853	-2550.992242523197	-1082.8786681321221
