strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
MN|LACV_NC077809|1960	LACV		1960-XX-XX	Minnesota	Unknown_MN	Unknown_MN	genbank	M	Bennett et al							Unknown	Unknown	none	none	none
RUS_Ivanovo|INKV_KT288270.1|1973	INKV	KT288269	1973-XX-XX	Ivanovo_Russia	Unknown_Ivanovo	Unknown_Ivanovo	genbank	M	Alkhovsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KT288271				LEIV-15248lv	Aedes_group	Unknown	Unknown	none	none	none
CA|JSV_KX817319.1|1963	JSV	KX817318	1963-XX-XX	California	Kern_CA	Unknown_Kern_CA	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/KX817320					Culiseta_inornata	Multi_Culiseta	Multivoltine	none	none	none
NJ|SORV_KX817337.1|1960	SORV	KX817336	1960-XX-XX	New-Jersey	Unknown_NJ	Unknown_NJ	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/KX817338					Anopheles_crucians	Multi_Anopheles	Multivoltine	none	none	none
CO|KX817316.1|1961	JCV	KX817315	1961-XX-XX	Colorado	Boulder_CO	Jamestown_CO	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/KX817317				JCV/61/CO	Culiseta_inornata	Multi_Culiseta	Multivoltine	none	none	none
MA|MN135990.1|2016-06	JCV	MN135990	2016-06-XX	Massachusetts	Bristol_MA	Unknown_Bristol_MA	genbank	M	Kinsella et al	https://www.ncbi.nlm.nih.gov/nuccore/MN135989	Jamestown Canyon virus in Massachusetts: clinical case sErie_NYs and vector screening	"Emerg. Microbes Infect. 9(1), 903-912 (2020)"	https://doi.org/10.1080/22221751.2020.1756697	16/MA/01	Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
MA|Yale-JC0779|2023	JCV		2023-05-31	Massachusetts	Worcester_MA	Webster_MA		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	none	none	none
MA|Yale-JC0782|2023	JCV		2023-06-28	Massachusetts	Berkshire_MA	Pittsfield_MA		M	Bourgikos						Aedes_communis	Uni_Aedes	Univoltine	A	A.1	A.1.0
MA|Yale-JC0783|2023	JCV		2023-06-28	Massachusetts	Berkshire_MA	Pittsfield_MA		M	Bourgikos						Aedes_communis	Uni_Aedes	Univoltine	A	A.1	A.1.0
MA|Yale-JC0784|2023	JCV		2023-05-26	Massachusetts	Plymouth_MA	Middleborough_MA		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
NM|MH900531.1|1977	JCV	MH900530	1977-04-XX	New-Mexico	Unknown_NM	Unknown_NM	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/MH900532	"Centers for Disease Control and Prevention, Division of Vector-borne Diseases"	CDC	https://www.ncbi.nlm.nih.gov/nuccore/MH900532	NM5-4BU	Culiseta_inornata	Multi_Culiseta	Multivoltine	none	none	none
CA_Manitoba|MH370819.1|1979	JCV	MH370818	1979-XX-XX	Manitoba_Canada	Unknown_Manitoba	Unknown_Manitoba	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/MH370820	"Centers for Disease Control and Prevention, Division of Vector-borne Diseases"	CDC	https://www.ncbi.nlm.nih.gov/nuccore/MH370820	MN256-260	Aedes_group	Uni_Aedes	Univoltine	A	A.2	A.2.0
CT|HM007354.1|2003	JCV	HM007355	2003-XX-XX	Connecticut	Unknown_CT	Unknown_CT	genbank	M	Bennett et al	https://www.ncbi.nlm.nih.gov/nuccore/HM007353	The full genome sequence of three strains of Jamestown Canyon virus and their pathogenesis in mice or monkeys	"Virol. J. 8(1), 136 (2011)"	https://doi.org/10.1186/1743-422X-8-136	JCV/03/CTcl	Aedes_abserratus	Uni_Aedes	Univoltine	none	none	none
CT|HM007357.1|2004	JCV	HM007358	2004-XX-XX	Connecticut	Unknown_CT	Unknown_CT	genbank	M	Bennett et al	https://www.ncbi.nlm.nih.gov/nuccore/HM007356	The full genome sequence of three strains of Jamestown Canyon virus and their pathogenesis in mice or monkeys	"Virol. J. 8(1), 136 (2011)"	https://doi.org/10.1186/1743-422X-8-136	JCV/04/CTcl	Aedes_canadensis	Uni_Aedes	Univoltine	none	none	none
NY|JC02|2003	JCV		2003-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV02	Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
NY|JC04|2004	JCV		2004-XX-XX	New-York	Oneida_NY	Unknown_Oneida_NY		M	Bourgikos					JCV04	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|JC05|2004	JCV		2004-XX-XX	New-York	Clinton_NY	Unknown_Clinton_NY		M	Bourgikos					JCV05	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|JC06|2005	JCV		2005-XX-XX	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos					JCV06	Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|JC07|2006	JCV		2006-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV07	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|JC08|2007	JCV		2007-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV08	Aedes_triseriatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|JC09|2007	JCV		2007-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV09	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|JC10|2008	JCV		2008-XX-XX	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos					JCV10	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|JC11|2008	JCV		2008-XX-XX	New-York	Oneida_NY	Unknown_Oneida_NY		M	Bourgikos					JCV11	Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
NY|JC12|2009	JCV		2009-XX-XX	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos					JCV12	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC13|2009	JCV		2009-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV13	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.2	A.2.1
NY|JC14|2010	JCV		2010-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV14	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC15|2010	JCV		2010-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV15	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
